# DERIVED by validation/catalog_coverage.py -- do not hand-edit.
# route_id | role | species (semicolon separated)
# role: feedstock (consumed, never made) | intermediate (both) |
#       product (made, never consumed) | catalyst (both sides of
#       one step). See tools/catalog.py for why this is derived.
lead-chamber | feedstock | oxygen;sulfur-s8
sandmeyer-route | feedstock | aniline;hydrogen-chloride;sodium-nitrite
sandmeyer-route | intermediate | benzenediazonium-chloride
sandmeyer-route | product | chlorobenzene;nitrogen;sodium-chloride;water
sandmeyer-route | catalyst | copper-i-oxide
reimer-tiemann | feedstock | chloroform;phenoxide-ion;sodium-hydroxide
reimer-tiemann | intermediate | dichlorocarbene;water
reimer-tiemann | product | chloride-ion;salicylaldehyde;sodium-chloride
williamson-ether | feedstock | iodomethane;phenol;sodium-hydroxide
williamson-ether | intermediate | sodium-phenoxide
williamson-ether | product | anisole;sodium-iodide;water
fischer-indole | feedstock | butanone;phenylhydrazine
fischer-indole | intermediate | butanone-phenylhydrazone
fischer-indole | product | 3-methylindole;ammonia;water
fischer-indole | catalyst | zinc-chloride
skraup-route | feedstock | glycerol;nitrobenzene
skraup-route | intermediate | acrolein
skraup-route | product | quinoline;water
skraup-route | catalyst | aniline;sulfuric-acid
hantzsch-pyridine | feedstock | acetaldehyde;ammonia;ethyl-acetoacetate;nitric-acid
hantzsch-pyridine | intermediate | hantzsch-dihydropyridine
hantzsch-pyridine | product | pyridine;water
mannich-route | feedstock | acetone;dimethylamine;formaldehyde;hydrogen-chloride
mannich-route | intermediate | dimethylmethyleneiminium
mannich-route | product | 4-dimethylamino-2-butanone;hydronium;water
michael-robinson | feedstock | acetone;methyl-vinyl-ketone
michael-robinson | intermediate | 2,6-heptanedione
michael-robinson | product | isophorone;water
michael-robinson | catalyst | sodium-hydroxide
wohler-urea | feedstock | ammonium-chloride;silver-nitrate
wohler-urea | intermediate | ammonium-cyanate
wohler-urea | product | silver-chloride;urea
kolbe-electrolysis | feedstock | sodium-acetate;water
kolbe-electrolysis | product | carbon-dioxide;ethane;hydrogen;sodium-hydroxide
haloform-iodoform | feedstock | acetone;iodine;sodium-hydroxide
haloform-iodoform | intermediate | triiodoacetone
haloform-iodoform | product | iodoform;sodium-acetate;sodium-iodide;water
fehling-test | feedstock | copper-ii-ion;glucose;sodium-hydroxide
fehling-test | product | copper-i-oxide;gluconic-acid;water
tollens-test | feedstock | benzaldehyde;hydroxide;silver-ion
tollens-test | product | silver;sodium-benzoate;water
tollens-test | catalyst | ammonia
marsh-test | feedstock | sulfuric-acid;zinc
marsh-test | intermediate | arsenic;arsine
marsh-test | product | hydrogen;zinc-sulfate
kjeldahl | feedstock | boric-acid;glycine;potassium-sulfate;sodium-hydroxide;sulfuric-acid
kjeldahl | intermediate | ammonia;ammonium-sulfate
kjeldahl | product | ammonium-borate;carbon-dioxide;sodium-sulfate;sulfur-dioxide;water
